person_age,person_income,person_employment_length,loan_grade,loan_amount,loan_interest_rate,loan_status,loan_to_income_ratio,cb_credit_history_length,person_income_log,loan_amount_log,loan_grade_numeric,credit_history_bins,person_home_ownership_other,person_home_ownership_own,person_home_ownership_rent,loan_purpose_education,loan_purpose_home-improvement,loan_purpose_medical,loan_purpose_personal,loan_purpose_venture,cb_person_default_on_file_Y
25,162500,2.0,A,29800,7.49,0,0.22,4,11.998439434579147,10.30229722897745,1,"(0, 5]",0,0,1,0,0,0,0,1,0
25,137000,9.0,E_or_lower,29800,16.77,0,0.25,2,11.827743504053696,10.30229722897745,6,"(0, 5]",0,0,1,0,0,0,1,0,1
22,65000,4.0,D,29800,17.58,1,0.5,4,11.082157933374816,10.30229722897745,4,"(0, 5]",0,0,1,1,0,0,0,0,0
24,14400,0.0,A,1500,7.29,0,0.14,3,9.575052927597383,7.313886831633462,1,"(0, 5]",0,1,0,0,0,0,1,0,0
22,80000,3.0,D,29800,14.54,1,0.42,4,11.289794413577894,10.30229722897745,4,"(0, 5]",0,0,1,0,0,0,1,0,1
24,67746,8.0,C,29800,12.68,1,0.49,3,11.123535457318734,10.30229722897745,3,"(0, 5]",0,0,1,0,1,0,0,0,0
21,14400,3.0,E_or_lower,4575,17.74,1,0.42,3,9.575052927597383,8.428580533059634,6,"(0, 5]",0,0,0,0,0,0,0,1,1
23,14400,0.0,A,1400,9.32,0,0.13,3,9.575052927597383,7.244941546337007,1,"(0, 5]",0,1,0,0,0,0,1,0,0
24,65000,6.0,B,29800,9.99,1,0.5,3,11.082157933374816,10.30229722897745,2,"(0, 5]",0,0,1,0,1,0,0,0,0
21,14400,5.0,C,4000,12.84,1,0.35,2,9.575052927597383,8.294299608857235,3,"(0, 5]",1,0,0,1,0,0,0,0,1
21,14400,5.0,B,2000,11.12,1,0.17,3,9.575052927597383,7.601402334583733,2,"(0, 5]",0,1,0,0,0,1,0,0,0
25,120000,2.0,A,29800,6.62,0,0.27,2,11.695255355062796,10.30229722897745,1,"(0, 5]",0,0,1,0,0,0,0,1,0
26,95000,7.0,C,29800,14.17,1,0.33,3,11.461642696843066,10.30229722897745,3,"(0, 5]",0,0,1,0,1,0,0,0,1
25,225000,2.0,C,24250,13.85,0,0.08,3,12.323860125621126,10.096213132628804,3,"(0, 5]",0,0,1,0,0,0,0,0,0
26,225000,10.0,C,7800,13.49,0,0.03,4,12.323860125621126,8.962007209588313,3,"(0, 5]",0,0,0,0,0,1,0,0,0
21,14400,5.0,A,2500,7.51,1,0.21,4,9.575052927597383,7.824445930877619,1,"(0, 5]",0,1,0,1,0,0,0,0,0
22,48000,1.0,E_or_lower,29800,18.39,1,0.5,2,10.778977123006351,10.30229722897745,6,"(0, 5]",0,0,1,1,0,0,0,0,0
24,64000,8.0,D,29800,14.54,1,0.47,3,11.06665398721974,10.30229722897745,4,"(0, 5]",0,0,1,0,0,0,0,0,1
25,75000,4.0,D,29800,16.89,1,0.4,4,11.225256725762891,10.30229722897745,4,"(0, 5]",0,0,1,0,1,0,0,0,1
23,71500,3.0,D,29800,16.481399999999994,1,0.42,4,11.177466714598282,10.30229722897745,4,"(0, 5]",0,0,1,0,0,0,0,0,0
26,62050,6.0,E_or_lower,29800,17.99,1,0.41,2,11.035711906538346,10.30229722897745,6,"(0, 5]",0,0,1,0,0,1,0,0,0
24,14400,4.0,B,2500,12.69,1,0.21,3,9.575052927597383,7.824445930877619,2,"(0, 5]",0,1,0,0,0,0,0,1,0
26,225000,10.0,A,20000,7.88,0,0.07,4,12.323860125621126,9.90353755128617,1,"(0, 5]",0,0,0,0,0,0,0,1,0
23,225000,1.0,E_or_lower,24250,19.41,0,0.08,2,12.323860125621126,10.096213132628804,6,"(0, 5]",0,1,0,1,0,0,0,0,1
26,225000,9.0,B,10000,10.38,0,0.03,4,12.323860125621126,9.210440366976515,2,"(0, 5]",0,1,0,0,1,0,0,0,0
26,225000,0.0,D,25000,15.33,0,0.08,3,12.323860125621126,10.12667110305036,4,"(0, 5]",0,0,0,1,0,0,0,0,0
25,225000,9.0,E_or_lower,18000,16.45,0,0.06,3,12.323860125621126,9.798182590890704,6,"(0, 5]",0,0,0,0,1,0,0,0,0
26,80690,8.0,A,29800,7.49,1,0.37,3,11.29838232387519,10.30229722897745,1,"(0, 5]",0,0,1,0,0,0,1,0,0
22,66300,4.0,B,29800,12.69,1,0.38,3,11.101960259016469,10.30229722897745,2,"(0, 5]",0,0,1,0,0,1,0,0,0
26,89028,0.0,A,29800,6.62,1,0.34,3,11.396717438335704,10.30229722897745,1,"(0, 5]",0,0,1,0,0,0,0,0,0
24,78000,4.0,D,29800,16.234299999999998,1,0.38,4,11.264476926102368,10.30229722897745,4,"(0, 5]",0,0,1,0,0,0,0,0,1
23,78000,7.0,E_or_lower,29800,18.62,1,0.38,3,11.264476926102368,10.30229722897745,6,"(0, 5]",0,0,1,0,0,0,0,0,1
23,92004,6.0,C,29800,15.23,1,0.33,3,11.429598202380475,10.30229722897745,3,"(0, 5]",0,0,1,0,0,0,1,0,1
23,97000,7.0,B,29800,10.65,1,0.31,2,11.48247656671073,10.30229722897745,2,"(0, 5]",0,0,1,0,0,0,0,1,0
25,120000,9.0,A,29800,7.9,0,0.25,4,11.695255355062796,10.30229722897745,1,"(0, 5]",0,0,1,1,0,0,0,0,0
26,225000,4.0,C,10000,15.96,0,0.04,3,12.323860125621126,9.210440366976515,3,"(0, 5]",0,0,1,0,0,0,1,0,1
26,225000,0.0,B,20000,11.48,0,0.07,3,12.323860125621126,9.90353755128617,2,"(0, 5]",0,0,1,0,0,0,0,1,0
23,225000,3.0,A,29800,7.230500000000001,0,0.13,4,12.323860125621126,10.30229722897745,1,"(0, 5]",0,1,0,0,0,0,1,0,0
25,128000,9.0,A,29800,7.29,0,0.23,4,11.759793355371237,10.30229722897745,1,"(0, 5]",0,0,1,0,0,0,1,0,0
24,14400,2.0,E_or_lower,1750,17.532600000000002,0,0.15,3,9.575052927597383,7.467942332285852,6,"(0, 5]",0,1,0,0,0,0,0,1,1
21,131000,0.0,A,29800,5.99,0,0.23,4,11.78296023574194,10.30229722897745,1,"(0, 5]",0,0,1,0,0,0,0,1,0
22,225000,6.0,B,12000,11.58,0,0.04,2,12.323860125621126,9.39274525863144,2,"(0, 5]",0,1,0,0,0,0,0,1,0
26,225000,0.0,B,10000,10.639100000000003,1,0.04,4,12.323860125621126,9.210440366976515,2,"(0, 5]",0,0,0,1,0,0,0,0,0
25,221850,9.0,D,25000,15.7,1,0.1,2,12.309761264347044,10.12667110305036,4,"(0, 5]",0,0,0,0,0,1,0,0,0
22,70000,6.0,D,29100,15.99,1,0.42,3,11.156264806643742,10.278527816830314,4,"(0, 5]",0,0,1,1,0,0,0,0,0
22,14400,7.0,D,1500,14.84,0,0.13,3,9.575052927597383,7.313886831633462,4,"(0, 5]",0,0,0,1,0,0,0,0,1
26,225000,10.0,B,28000,10.99,0,0.11,3,12.323860125621126,10.239995502805316,2,"(0, 5]",0,1,0,0,1,0,0,0,0
25,225000,9.0,D,20000,14.42,0,0.08,2,12.323860125621126,9.90353755128617,4,"(0, 5]",0,0,0,0,1,0,0,0,1
24,225000,9.0,A,9600,6.99,0,0.04,2,12.323860125621126,9.169622538697624,1,"(0, 5]",0,0,0,1,0,0,0,0,0
25,225000,2.0,C,25000,13.49,0,0.1,4,12.323860125621126,10.12667110305036,3,"(0, 5]",0,0,1,0,0,1,0,0,0
25,14400,0.0,C,3000,13.015800000000002,1,0.25,3,9.575052927597383,8.006700845440367,3,"(0, 5]",0,1,0,0,0,1,0,0,0
22,56950,6.0,A,28000,7.694899999999995,1,0.49,2,10.949946527983675,10.239995502805316,1,"(0, 5]",0,0,1,0,0,1,0,0,0
21,14400,6.0,C,3000,13.61,1,0.25,3,9.575052927597383,8.006700845440367,3,"(0, 5]",0,1,0,1,0,0,0,0,1
23,65000,2.0,A,28000,7.9,1,0.43,2,11.082157933374816,10.239995502805316,1,"(0, 5]",0,0,1,1,0,0,0,0,0
26,85000,2.0,A,28000,7.49,1,0.33,3,11.350418300109132,10.239995502805316,1,"(0, 5]",0,0,1,0,0,0,0,1,0
26,14400,2.0,A,6100,7.51,1,0.5,3,9.575052927597383,8.716207971151853,1,"(0, 5]",0,1,0,1,0,0,0,0,0
22,88000,6.0,B,28000,9.91,1,0.32,3,11.38510345703214,10.239995502805316,2,"(0, 5]",0,0,1,0,0,0,0,1,0
21,14400,0.0,C,4200,13.48,1,0.35,4,9.575052927597383,8.343077871169383,3,"(0, 5]",0,1,0,0,0,0,1,0,1
22,14400,6.0,A,4750,7.14,1,0.4,2,9.575052927597383,8.46611040118692,1,"(0, 5]",0,1,0,0,0,0,0,0,0
24,83004,0.0,D,28000,15.99,1,0.34,4,11.326656125928176,10.239995502805316,4,"(0, 5]",0,0,1,0,0,0,0,1,1
24,225000,2.0,C,18000,12.98,0,0.07,3,12.323860125621126,9.798182590890704,3,"(0, 5]",0,0,1,1,0,0,0,0,1
50,225000,4.0,C,4800,13.57,0,0.02,3,12.323860125621126,8.476579508530941,3,"(0, 5]",0,0,1,0,0,0,0,1,0
25,100000,5.0,B,28000,12.69,0,0.28,3,11.51293546492023,10.239995502805316,2,"(0, 5]",0,0,1,0,0,0,0,0,0
26,110000,10.0,A,28000,8.9,0,0.25,2,11.60824473564232,10.239995502805316,1,"(0, 5]",0,0,1,1,0,0,0,0,0
26,14400,0.0,A,2700,8.0489,1,0.23,4,9.575052927597383,7.901377353792616,1,"(0, 5]",0,1,0,0,0,0,0,0,0
22,108000,6.0,B,28000,11.196800000000003,1,0.26,4,11.58989576532275,10.239995502805316,2,"(0, 5]",0,0,1,1,0,0,0,0,0
23,151200,7.0,B,28000,11.11,0,0.19,2,11.926365356462313,10.239995502805316,2,"(0, 5]",0,0,1,0,0,0,0,0,0
24,69000,2.0,A,27600,7.831299999999994,1,0.4,2,11.141876276228,10.22560728293294,1,"(0, 5]",0,0,1,0,1,0,0,0,0
21,14400,5.0,E_or_lower,3250,15.68,1,0.27,3,9.575052927597383,8.086717920303906,6,"(0, 5]",0,0,0,0,0,0,0,0,1
22,70000,4.0,C,27500,13.06,1,0.39,3,11.156264806643742,10.221977646629885,3,"(0, 5]",0,0,1,1,0,0,0,0,1
22,225000,6.0,B,25000,10.5302,0,0.1,2,12.323860125621126,10.12667110305036,2,"(0, 5]",0,1,0,0,0,0,1,0,0
26,73200,5.0,D,27050,15.62,1,0.37,2,11.200964361058276,10.205479252168017,4,"(0, 5]",0,0,1,0,0,0,0,1,1
24,83000,5.0,C,27000,13.49,1,0.33,2,11.326607934898927,10.203629181337648,3,"(0, 5]",0,0,1,0,0,0,1,0,1
24,73399,0.0,D,27000,15.803299999999997,1,0.37,3,11.203679214602609,10.203629181337648,4,"(0, 5]",0,0,1,0,0,0,0,1,0
23,62500,7.0,B,26000,11.71,1,0.42,2,11.042937835596494,10.165890277802454,2,"(0, 5]",0,0,1,0,0,1,0,0,0
23,120000,1.0,B,25600,12.69,0,0.21,3,11.695255355062796,10.150386692204734,2,"(0, 5]",0,0,1,1,0,0,0,0,0
24,14400,2.0,C,1600,13.57,0,0.13,3,9.575052927597383,7.378383712996715,3,"(0, 5]",0,1,0,0,0,1,0,0,0
22,60000,0.0,B,25475,10.99,1,0.42,3,11.002116507732016,10.145492111491256,2,"(0, 5]",0,0,1,0,0,0,0,1,0
25,225000,3.0,C,20000,14.27,0,0.09,4,12.323860125621126,9.90353755128617,3,"(0, 5]",0,0,0,0,0,1,0,0,1
24,225000,8.0,B,20000,8.88,0,0.09,4,12.323860125621126,9.90353755128617,2,"(0, 5]",0,1,0,0,1,0,0,0,0
26,225000,10.0,B,21600,12.18,0,0.09,3,12.323860125621126,9.980494888896912,2,"(0, 5]",0,0,0,0,1,0,0,0,0
25,221004,6.0,D,11900,14.42,1,0.05,3,12.30594060467835,9.38437770918244,4,"(0, 5]",0,0,0,0,0,0,0,0,1
26,225000,0.0,C,25000,14.17,0,0.11,2,12.323860125621126,10.12667110305036,3,"(0, 5]",0,0,0,0,0,1,0,0,1
25,225000,5.0,C,29800,13.99,0,0.15,4,12.323860125621126,10.30229722897745,3,"(0, 5]",0,0,0,0,0,1,0,0,0
23,83000,7.0,B,25300,10.99,1,0.3,3,11.326607934898927,10.138599199626192,2,"(0, 5]",0,0,1,1,0,0,0,0,0
22,14400,4.0,A,2000,5.42,1,0.16,4,9.575052927597383,7.601402334583733,1,"(0, 5]",0,0,0,0,0,0,1,0,0
25,14400,3.0,C,1750,13.61,0,0.14,3,9.575052927597383,7.467942332285852,3,"(0, 5]",0,1,0,0,0,0,1,0,0
21,42500,3.0,C,25000,12.73,1,0.5,3,10.65728288404746,10.12667110305036,3,"(0, 5]",0,0,1,1,0,0,0,0,1
24,41000,2.0,D,25000,14.904299999999994,1,0.5,3,10.62135173563291,10.12667110305036,4,"(0, 5]",0,0,1,0,1,0,0,0,0
25,14400,0.0,C,3000,12.87,1,0.23,4,9.575052927597383,8.006700845440367,3,"(0, 5]",0,1,0,0,0,0,0,0,1
24,14400,1.0,B,3650,9.91,1,0.28,3,9.575052927597383,8.202756381655638,2,"(0, 5]",0,0,0,0,1,0,0,0,0
26,225000,4.0,B,20000,11.49,0,0.09,4,12.323860125621126,9.90353755128617,2,"(0, 5]",0,0,0,0,1,0,0,0,0
25,225000,0.0,E_or_lower,29800,19.91,0,0.13,2,12.323860125621126,10.30229722897745,6,"(0, 5]",0,0,0,0,1,0,0,0,1
26,213000,6.0,B,29800,10.65,1,0.16,2,12.269052139516225,10.30229722897745,2,"(0, 5]",0,0,0,1,0,0,0,0,0
24,225000,0.0,B,6000,10.927800000000007,0,0.03,4,12.323860125621126,8.699681400989514,2,"(0, 5]",0,0,1,0,0,1,0,0,0
24,14400,0.0,B,4500,11.83,1,0.35,4,9.575052927597383,8.412054873292933,2,"(0, 5]",0,0,0,0,0,0,0,0,0
23,14400,0.0,C,2400,13.49,1,0.18,2,9.575052927597383,7.783640596221253,3,"(0, 5]",0,1,0,0,0,0,0,0,1
22,42000,6.0,D,25000,14.59,1,0.5,2,10.645448706505872,10.12667110305036,4,"(0, 5]",0,0,1,0,0,1,0,0,1
26,48000,2.0,B,25000,9.64,1,0.5,4,10.778977123006351,10.12667110305036,2,"(0, 5]",0,0,1,1,0,0,0,0,0
25,14400,1.0,D,3600,14.59,1,0.28,3,9.575052927597383,8.188966863648876,4,"(0, 5]",0,1,0,0,0,1,0,0,0
22,14400,1.0,B,4750,10.865300000000001,1,0.37,3,9.575052927597383,8.46611040118692,2,"(0, 5]",0,1,0,1,0,0,0,0,0
25,42360,1.0,E_or_lower,25000,16.35,1,0.5,3,10.65398340661328,10.12667110305036,6,"(0, 5]",0,0,1,1,0,0,0,0,1
21,49000,4.0,B,25000,10.99,1,0.5,2,10.799595985047786,10.12667110305036,2,"(0, 5]",0,0,1,1,0,0,0,0,0
25,225000,0.0,E_or_lower,25000,18.67,0,0.11,2,12.323860125621126,10.12667110305036,6,"(0, 5]",0,0,0,0,0,0,0,1,0
26,225000,1.0,A,3000,9.32,0,0.02,4,12.323860125621126,8.006700845440367,1,"(0, 5]",0,0,1,1,0,0,0,0,0
23,225000,8.0,A,7500,8.63,0,0.03,2,12.323860125621126,8.922791623969637,1,"(0, 5]",0,0,1,0,0,0,0,0,0
26,225000,2.0,B,25000,10.08,0,0.11,2,12.323860125621126,10.12667110305036,2,"(0, 5]",0,0,0,0,0,0,0,1,0
22,49464,5.0,B,25000,11.83,1,0.5,3,10.809020627757324,10.12667110305036,2,"(0, 5]",0,0,1,0,0,0,1,0,0
23,50000,1.0,A,25000,7.9,1,0.5,3,10.819798284210286,10.12667110305036,1,"(0, 5]",0,0,1,0,0,0,0,0,0
25,50000,4.0,A,25000,5.99,1,0.5,2,10.819798284210286,10.12667110305036,1,"(0, 5]",0,0,1,0,1,0,0,0,0
24,44000,2.0,D,25000,15.33,1,0.5,2,10.691967639914864,10.12667110305036,4,"(0, 5]",0,0,1,0,0,0,0,0,0
23,50000,1.0,B,25000,11.83,1,0.5,4,10.819798284210286,10.12667110305036,2,"(0, 5]",0,0,1,0,0,0,0,1,0
22,50004,0.0,B,25000,10.36,1,0.5,2,10.819878279410617,10.12667110305036,2,"(0, 5]",0,0,1,0,0,0,0,1,0
22,50004,3.0,C,25000,12.23,1,0.5,3,10.819878279410617,10.12667110305036,3,"(0, 5]",0,0,1,0,0,0,0,1,0
22,52000,2.0,B,25000,11.11,1,0.48,4,10.859018228147889,10.12667110305036,2,"(0, 5]",0,0,1,1,0,0,0,0,0
23,14400,3.0,A,4950,7.9,1,0.38,4,9.575052927597383,8.507344855361422,1,"(0, 5]",0,1,0,0,0,0,0,0,0
24,220000,1.0,B,25000,11.58,0,0.11,2,12.301387370778713,10.12667110305036,2,"(0, 5]",0,0,0,1,0,0,0,0,0
23,216000,5.0,A,21000,8.9,0,0.1,3,12.283038316285214,9.952325334619427,1,"(0, 5]",0,0,0,0,0,0,0,0,0
25,216000,2.0,D,25000,16.07,0,0.12,3,12.283038316285214,10.12667110305036,4,"(0, 5]",0,0,0,1,0,0,0,0,0
26,216000,10.0,C,20000,14.22,0,0.09,2,12.283038316285214,9.90353755128617,3,"(0, 5]",0,0,0,1,0,0,0,0,1
23,215000,7.0,C,29800,14.79,0,0.16,3,12.278397958261774,10.30229722897745,3,"(0, 5]",0,0,0,0,0,1,0,0,1
26,215000,11.0,A,12000,7.88,0,0.06,2,12.278397958261774,9.39274525863144,1,"(0, 5]",0,0,0,1,0,0,0,0,0
23,52000,1.0,C,25000,13.22,1,0.48,2,10.859018228147889,10.12667110305036,3,"(0, 5]",0,0,1,0,0,0,1,0,0
26,46000,2.0,D,25000,11.86,1,0.5,4,10.736418414365376,10.12667110305036,4,"(0, 5]",0,0,1,0,0,0,0,0,0
22,53000,5.0,C,25000,13.43,1,0.47,4,10.87806606028079,10.12667110305036,3,"(0, 5]",0,0,1,1,0,0,0,0,1
26,47000,0.0,D,25000,15.28,1,0.5,2,10.757924157061597,10.12667110305036,4,"(0, 5]",0,0,1,0,1,0,0,0,1
23,47000,1.0,E_or_lower,25000,17.93,1,0.5,2,10.757924157061597,10.12667110305036,6,"(0, 5]",0,0,1,0,0,0,0,1,0
23,14400,2.0,B,1400,9.25,0,0.11,4,9.575052927597383,7.244941546337007,2,"(0, 5]",0,0,0,1,0,0,0,0,0
21,14400,0.0,C,4500,12.98,1,0.34,4,9.575052927597383,8.412054873292933,3,"(0, 5]",0,1,0,0,0,0,0,1,0
22,210000,6.0,B,16000,10.62,0,0.08,4,12.25486757159303,9.680406499268877,2,"(0, 5]",0,0,0,0,0,0,0,1,0
26,210000,10.0,B,22000,11.83,0,0.1,4,12.25486757159303,9.99884318585288,2,"(0, 5]",0,1,0,0,0,0,1,0,0
26,48000,5.0,E_or_lower,25000,18.43,1,0.5,2,10.778977123006351,10.12667110305036,6,"(0, 5]",0,0,1,0,0,0,0,1,0
22,54996,6.0,B,25000,10.991900000000003,1,0.45,4,10.915033917272403,10.12667110305036,2,"(0, 5]",0,0,1,1,0,0,0,0,0
24,55000,4.0,D,25000,15.599100000000005,1,0.45,4,10.915106645867503,10.12667110305036,4,"(0, 5]",0,0,1,0,1,0,0,0,1
23,55000,4.0,B,25000,11.36,1,0.45,3,10.915106645867503,10.12667110305036,2,"(0, 5]",0,0,1,1,0,0,0,0,0
23,55000,4.0,D,25000,15.65,1,0.45,3,10.915106645867503,10.12667110305036,4,"(0, 5]",0,0,1,1,0,0,0,0,1
24,55164,8.0,C,25000,13.22,1,0.45,4,10.918083973194406,10.12667110305036,3,"(0, 5]",0,0,1,0,0,0,1,0,1
26,56000,4.0,C,25000,12.87,1,0.45,2,10.933124826700707,10.12667110305036,3,"(0, 5]",0,0,1,0,0,0,0,0,0
24,203500,8.0,C,20000,13.04,0,0.1,3,12.223426197857629,9.90353755128617,3,"(0, 5]",0,1,0,0,0,1,0,0,0
23,190000,5.0,E_or_lower,22000,17.58,1,0.12,3,12.154784614286667,9.99884318585288,6,"(0, 5]",0,0,0,1,0,0,0,0,1
23,14400,2.0,E_or_lower,7750,17.04,1,0.5,4,9.575052927597383,8.955577146281511,6,"(0, 5]",0,1,0,0,0,0,1,0,0
24,60000,0.0,B,25000,10.99,1,0.42,3,11.002116507732016,10.12667110305036,2,"(0, 5]",0,0,1,0,0,0,1,0,0
24,60000,2.0,B,25000,11.11,1,0.42,3,11.002116507732016,10.12667110305036,2,"(0, 5]",0,0,1,0,0,0,1,0,0
26,54000,7.0,D,25000,14.83,1,0.46,2,10.896757843893464,10.12667110305036,4,"(0, 5]",0,0,1,0,0,0,0,0,1
23,14400,2.0,D,4000,15.08339999999999,1,0.29,3,9.575052927597383,8.294299608857235,4,"(0, 5]",0,1,0,0,0,0,0,0,0
24,200000,8.0,B,12000,12.69,0,0.06,2,12.206077645517674,9.39274525863144,2,"(0, 5]",0,0,1,0,0,1,0,0,0
24,200000,8.0,C,12000,13.49,0,0.06,2,12.206077645517674,9.39274525863144,3,"(0, 5]",0,0,0,0,1,0,0,0,0
21,200000,5.0,C,16000,14.65,0,0.08,4,12.206077645517674,9.680406499268877,3,"(0, 5]",0,0,0,1,0,0,0,0,0
25,54000,3.0,E_or_lower,25000,16.82,1,0.46,4,10.896757843893464,10.12667110305036,6,"(0, 5]",0,0,1,0,1,0,0,0,0
23,60000,3.0,C,25000,12.73,1,0.42,3,11.002116507732016,10.12667110305036,3,"(0, 5]",0,0,1,0,0,0,1,0,0
23,60000,7.0,B,25000,10.25,1,0.42,4,11.002116507732016,10.12667110305036,2,"(0, 5]",0,0,1,0,0,0,1,0,0
21,60000,6.0,B,25000,10.99,1,0.42,4,11.002116507732016,10.12667110305036,2,"(0, 5]",0,0,1,1,0,0,0,0,0
25,61959,9.0,C,25000,12.73,1,0.4,2,11.034244294530804,10.12667110305036,3,"(0, 5]",0,0,1,0,0,1,0,0,0
22,56400,2.0,D,25000,14.96,1,0.44,3,10.94024216782542,10.12667110305036,4,"(0, 5]",0,0,1,0,1,0,0,0,1
23,200000,7.0,A,28000,7.807699999999994,0,0.14,2,12.206077645517674,10.239995502805316,1,"(0, 5]",0,0,0,1,0,0,0,0,0
21,200000,2.0,C,25000,13.99,0,0.13,2,12.206077645517674,10.12667110305036,3,"(0, 5]",0,0,0,0,0,0,0,0,0
24,200000,3.0,A,24000,7.49,0,0.12,4,12.206077645517674,10.085850775128716,1,"(0, 5]",0,0,0,0,0,0,0,1,0
26,200000,4.0,C,15000,14.79,0,0.07,3,12.206077645517674,9.61587214452889,3,"(0, 5]",0,0,0,1,0,0,0,0,0
25,200000,2.0,B,15500,11.99,0,0.08,2,12.206077645517674,9.648659816955297,2,"(0, 5]",0,0,0,0,0,0,0,0,0
24,200000,8.0,A,10000,8.49,0,0.05,4,12.206077645517674,9.210440366976515,1,"(0, 5]",0,0,1,1,0,0,0,0,0
24,66000,3.0,B,25000,9.91,1,0.38,2,11.097425172408933,10.12667110305036,2,"(0, 5]",0,0,1,1,0,0,0,0,0
22,66000,6.0,C,25000,13.06,1,0.38,3,11.097425172408933,10.12667110305036,3,"(0, 5]",0,0,1,1,0,0,0,0,1
22,200000,6.0,A,9000,6.17,0,0.04,4,12.206077645517674,9.105090961257083,1,"(0, 5]",0,0,0,0,0,0,0,0,0
50,200000,4.0,B,6000,11.86,0,0.03,2,12.206077645517674,8.699681400989514,2,"(0, 5]",0,0,0,1,0,0,0,0,0
25,200000,5.0,D,18000,16.32,0,0.09,3,12.206077645517674,9.798182590890704,4,"(0, 5]",0,0,1,1,0,0,0,0,0
25,200000,2.0,B,12000,10.38,0,0.06,2,12.206077645517674,9.39274525863144,2,"(0, 5]",0,0,0,0,0,0,0,1,0
25,200000,9.0,C,23050,14.35,0,0.12,3,12.206077645517674,10.045464431431675,3,"(0, 5]",0,0,0,0,0,0,1,0,0
24,200000,8.0,B,20000,10.960300000000004,0,0.1,3,12.206077645517674,9.90353755128617,2,"(0, 5]",0,0,0,0,0,0,0,0,0
24,60000,2.0,E_or_lower,25000,17.754500000000004,1,0.42,2,11.002116507732016,10.12667110305036,6,"(0, 5]",0,0,1,0,0,0,0,0,1
21,14400,0.0,B,3000,10.8097,1,0.21,4,9.575052927597383,8.006700845440367,2,"(0, 5]",0,1,0,0,1,0,0,0,0
26,66996,10.0,D,25000,15.21,1,0.37,2,11.11240312125122,10.12667110305036,4,"(0, 5]",0,0,1,0,0,0,1,0,1
23,67000,3.0,A,25000,7.9,1,0.37,4,11.112462823634855,10.12667110305036,1,"(0, 5]",0,0,1,1,0,0,0,0,0
