person_age,person_income,person_home_ownership,person_employment_length,loan_purpose,loan_grade,loan_amount,loan_interest_rate,loan_status,loan_to_income_ratio,cb_person_default_on_file,cb_credit_history_length,person_income_log,loan_amount_log
26,62050,rent,6.0,medical,E_or_lower,29800,17.99,True,0.41,N,2,11.035711906538346,10.30229722897745
24,14400,own,4.0,venture,B,2500,12.69,True,0.21,N,3,9.575052927597383,7.824445930877619
26,225000,mortgage,10.0,venture,A,20000,7.88,False,0.07,N,4,12.323860125621126,9.90353755128617
23,225000,own,1.0,education,E_or_lower,24250,19.41,False,0.08,Y,2,12.323860125621126,10.096213132628804
26,225000,own,9.0,home-improvement,B,10000,10.38,False,0.03,N,4,12.323860125621126,9.210440366976517
26,225000,mortgage,0.0,education,D,25000,15.33,False,0.08,N,3,12.323860125621126,10.12667110305036
25,225000,mortgage,9.0,home-improvement,E_or_lower,18000,16.45,False,0.06,N,3,12.323860125621126,9.798182590890704
26,80690,rent,8.0,personal,A,29800,7.49,True,0.37,N,3,11.29838232387519,10.30229722897745
22,66300,rent,4.0,medical,B,29800,12.69,True,0.38,N,3,11.101960259016467,10.30229722897745
26,89028,rent,0.0,debt-consolidation,A,29800,6.62,True,0.34,N,3,11.396717438335704,10.30229722897745
24,78000,rent,4.0,debt-consolidation,D,29800,,True,0.38,Y,4,11.264476926102367,10.30229722897745
23,78000,rent,7.0,debt-consolidation,E_or_lower,29800,18.62,True,0.38,Y,3,11.264476926102367,10.30229722897745
23,92004,rent,6.0,personal,C,29800,15.23,True,0.33,Y,3,11.429598202380475,10.30229722897745
23,97000,rent,7.0,venture,B,29800,10.65,True,0.31,N,2,11.48247656671073,10.30229722897745
25,120000,rent,9.0,education,A,29800,7.9,False,0.25,N,4,11.695255355062795,10.30229722897745
26,225000,rent,4.0,personal,C,10000,15.96,False,0.04,Y,3,12.323860125621126,9.210440366976517
26,225000,rent,0.0,venture,B,20000,11.48,False,0.07,N,3,12.323860125621126,9.90353755128617
23,225000,own,3.0,personal,A,29800,,False,0.13,N,4,12.323860125621126,10.30229722897745
25,128000,rent,9.0,personal,A,29800,7.29,False,0.23,N,4,11.759793355371237,10.30229722897745
24,14400,own,2.0,venture,E_or_lower,1750,,False,0.15,Y,3,9.575052927597383,7.467942332285852
21,131000,rent,0.0,venture,A,29800,5.99,False,0.23,N,4,11.782960235741939,10.30229722897745
22,225000,own,6.0,venture,B,12000,11.58,False,0.04,N,2,12.323860125621126,9.392745258631441
26,225000,mortgage,0.0,education,B,10000,,True,0.04,N,4,12.323860125621126,9.210440366976517
25,221850,mortgage,9.0,medical,D,25000,15.7,True,0.1,N,2,12.309761264347044,10.12667110305036
22,70000,rent,6.0,education,D,29100,15.99,True,0.42,N,3,11.156264806643742,10.278527816830314
22,14400,mortgage,7.0,education,D,1500,14.84,False,0.13,Y,3,9.575052927597383,7.313886831633462
26,225000,own,10.0,home-improvement,B,28000,10.99,False,0.11,N,3,12.323860125621126,10.239995502805316
25,225000,mortgage,9.0,home-improvement,D,20000,14.42,False,0.08,Y,2,12.323860125621126,9.90353755128617
24,225000,mortgage,9.0,education,A,9600,6.99,False,0.04,N,2,12.323860125621126,9.169622538697624
25,225000,rent,2.0,medical,C,25000,13.49,False,0.1,N,4,12.323860125621126,10.12667110305036
25,14400,own,0.0,medical,C,3000,,True,0.25,N,3,9.575052927597383,8.006700845440367
22,56950,rent,6.0,medical,A,28000,,True,0.49,N,2,10.949946527983677,10.239995502805316
21,14400,own,6.0,education,C,3000,13.61,True,0.25,Y,3,9.575052927597383,8.006700845440367
23,65000,rent,2.0,education,A,28000,7.9,True,0.43,N,2,11.082157933374816,10.239995502805316
26,85000,rent,2.0,venture,A,28000,7.49,True,0.33,N,3,11.350418300109132,10.239995502805316
26,14400,own,2.0,education,A,6100,7.51,True,0.5,N,3,9.575052927597383,8.716207971151853
22,88000,rent,6.0,venture,B,28000,9.91,True,0.32,N,3,11.385103457032141,10.239995502805316
21,14400,own,0.0,personal,C,4200,13.48,True,0.35,Y,4,9.575052927597383,8.343077871169383
22,14400,own,6.0,debt-consolidation,A,4750,7.14,True,0.4,N,2,9.575052927597383,8.46611040118692
24,83004,rent,0.0,venture,D,28000,15.99,True,0.34,Y,4,11.326656125928176,10.239995502805316
24,225000,rent,2.0,education,C,18000,12.98,False,0.07,Y,3,12.323860125621126,9.798182590890704
50,225000,rent,4.0,venture,C,4800,13.57,False,0.02,N,3,12.323860125621126,8.476579508530941
25,100000,rent,5.0,debt-consolidation,B,28000,12.69,False,0.28,N,3,11.51293546492023,10.239995502805316
26,110000,rent,10.0,education,A,28000,8.9,False,0.25,N,2,11.608244735642321,10.239995502805316
26,14400,own,0.0,debt-consolidation,A,2700,,True,0.23,N,4,9.575052927597383,7.901377353792616
22,108000,rent,6.0,education,B,28000,,True,0.26,N,4,11.58989576532275,10.239995502805316
23,151200,rent,7.0,debt-consolidation,B,28000,11.11,False,0.19,N,2,11.926365356462313,10.239995502805316
24,69000,rent,2.0,home-improvement,A,27600,,True,0.4,N,2,11.141876276228,10.225607282932941
21,14400,mortgage,5.0,debt-consolidation,E_or_lower,3250,15.68,True,0.27,Y,3,9.575052927597383,8.086717920303906
22,70000,rent,4.0,education,C,27500,13.06,True,0.39,Y,3,11.156264806643742,10.221977646629885
22,225000,own,6.0,personal,B,25000,,False,0.1,N,2,12.323860125621126,10.12667110305036
26,73200,rent,5.0,venture,D,27050,15.62,True,0.37,Y,2,11.200964361058276,10.205479252168017
24,83000,rent,5.0,personal,C,27000,13.49,True,0.33,Y,2,11.326607934898927,10.203629181337648
24,73399,rent,0.0,venture,D,27000,,True,0.37,N,3,11.203679214602607,10.203629181337648
23,62500,rent,7.0,medical,B,26000,11.71,True,0.42,N,2,11.042937835596494,10.165890277802454
23,120000,rent,1.0,education,B,25600,12.69,False,0.21,N,3,11.695255355062795,10.150386692204734
24,14400,own,2.0,medical,C,1600,13.57,False,0.13,N,3,9.575052927597383,7.3783837129967145
22,60000,rent,0.0,venture,B,25475,10.99,True,0.42,N,3,11.002116507732017,10.145492111491256
25,225000,mortgage,3.0,medical,C,20000,14.27,False,0.09,Y,4,12.323860125621126,9.90353755128617
24,225000,own,8.0,home-improvement,B,20000,8.88,False,0.09,N,4,12.323860125621126,9.90353755128617
26,225000,mortgage,10.0,home-improvement,B,21600,12.18,False,0.09,N,3,12.323860125621126,9.980494888896912
25,221004,mortgage,6.0,debt-consolidation,D,11900,14.42,True,0.05,Y,3,12.30594060467835,9.38437770918244
26,225000,mortgage,0.0,medical,C,25000,14.17,False,0.11,Y,2,12.323860125621126,10.12667110305036
25,225000,mortgage,5.0,medical,C,29800,13.99,False,0.15,N,4,12.323860125621126,10.30229722897745
23,83000,rent,7.0,education,B,25300,10.99,True,0.3,N,3,11.326607934898927,10.138599199626192
22,14400,mortgage,4.0,personal,A,2000,5.42,True,0.16,N,4,9.575052927597383,7.601402334583733
25,14400,own,3.0,personal,C,1750,13.61,False,0.14,N,3,9.575052927597383,7.467942332285852
21,42500,rent,3.0,education,C,25000,12.73,True,0.5,Y,3,10.657282884047461,10.12667110305036
24,41000,rent,2.0,home-improvement,D,25000,,True,0.5,N,3,10.62135173563291,10.12667110305036
25,14400,own,0.0,debt-consolidation,C,3000,12.87,True,0.23,Y,4,9.575052927597383,8.006700845440367
24,14400,mortgage,1.0,home-improvement,B,3650,9.91,True,0.28,N,3,9.575052927597383,8.202756381655638
26,225000,mortgage,4.0,home-improvement,B,20000,11.49,False,0.09,N,4,12.323860125621126,9.90353755128617
25,225000,mortgage,0.0,home-improvement,E_or_lower,29800,19.91,False,0.13,Y,2,12.323860125621126,10.30229722897745
26,213000,mortgage,6.0,education,B,29800,10.65,True,0.16,N,2,12.269052139516223,10.30229722897745
24,225000,rent,0.0,medical,B,6000,,False,0.03,N,4,12.323860125621126,8.699681400989514
24,14400,mortgage,0.0,debt-consolidation,B,4500,11.83,True,0.35,N,4,9.575052927597383,8.412054873292933
23,14400,own,0.0,debt-consolidation,C,2400,13.49,True,0.18,Y,2,9.575052927597383,7.783640596221253
22,42000,rent,6.0,medical,D,25000,14.59,True,0.5,Y,2,10.645448706505872,10.12667110305036
26,48000,rent,2.0,education,B,25000,9.64,True,0.5,N,4,10.778977123006351,10.12667110305036
25,14400,own,1.0,medical,D,3600,14.59,True,0.28,N,3,9.575052927597383,8.188966863648876
22,14400,own,1.0,education,B,4750,,True,0.37,N,3,9.575052927597383,8.46611040118692
25,42360,rent,1.0,education,E_or_lower,25000,16.35,True,0.5,Y,3,10.65398340661328,10.12667110305036
21,49000,rent,4.0,education,B,25000,10.99,True,0.5,N,2,10.799595985047786,10.12667110305036
25,225000,mortgage,0.0,venture,E_or_lower,25000,18.67,False,0.11,N,2,12.323860125621126,10.12667110305036
26,225000,rent,1.0,education,A,3000,9.32,False,0.02,N,4,12.323860125621126,8.006700845440367
23,225000,rent,8.0,debt-consolidation,A,7500,8.63,False,0.03,N,2,12.323860125621126,8.922791623969637
26,225000,mortgage,2.0,venture,B,25000,10.08,False,0.11,N,2,12.323860125621126,10.12667110305036
22,49464,rent,5.0,personal,B,25000,11.83,True,0.5,N,3,10.809020627757324,10.12667110305036
23,50000,rent,1.0,debt-consolidation,A,25000,7.9,True,0.5,N,3,10.819798284210286,10.12667110305036
25,50000,rent,4.0,home-improvement,A,25000,5.99,True,0.5,N,2,10.819798284210286,10.12667110305036
24,44000,rent,2.0,debt-consolidation,D,25000,15.33,True,0.5,N,2,10.691967639914864,10.12667110305036
23,50000,rent,1.0,venture,B,25000,11.83,True,0.5,N,4,10.819798284210286,10.12667110305036
22,50004,rent,0.0,venture,B,25000,10.36,True,0.5,N,2,10.819878279410617,10.12667110305036
22,50004,rent,3.0,venture,C,25000,12.23,True,0.5,N,3,10.819878279410617,10.12667110305036
22,52000,rent,2.0,education,B,25000,11.11,True,0.48,N,4,10.859018228147887,10.12667110305036
23,14400,own,3.0,debt-consolidation,A,4950,7.9,True,0.38,N,4,9.575052927597383,8.507344855361422
24,220000,mortgage,1.0,education,B,25000,11.58,False,0.11,N,2,12.301387370778713,10.12667110305036
23,216000,mortgage,5.0,debt-consolidation,A,21000,8.9,False,0.1,N,3,12.283038316285214,9.952325334619427
25,216000,mortgage,2.0,education,D,25000,16.07,False,0.12,N,3,12.283038316285214,10.12667110305036
26,216000,mortgage,10.0,education,C,20000,14.22,False,0.09,Y,2,12.283038316285214,9.90353755128617
23,215000,mortgage,7.0,medical,C,29800,14.79,False,0.16,Y,3,12.278397958261774,10.30229722897745
26,215000,mortgage,11.0,education,A,12000,7.88,False,0.06,N,2,12.278397958261774,9.392745258631441
23,52000,rent,1.0,personal,C,25000,13.22,True,0.48,N,2,10.859018228147887,10.12667110305036
26,46000,rent,2.0,debt-consolidation,D,25000,11.86,True,0.5,N,4,10.736418414365376,10.12667110305036
22,53000,rent,5.0,education,C,25000,13.43,True,0.47,Y,4,10.87806606028079,10.12667110305036
26,47000,rent,0.0,home-improvement,D,25000,15.28,True,0.5,Y,2,10.757924157061597,10.12667110305036
23,47000,rent,1.0,venture,E_or_lower,25000,17.93,True,0.5,N,2,10.757924157061597,10.12667110305036
23,14400,mortgage,2.0,education,B,1400,9.25,False,0.11,N,4,9.575052927597383,7.244941546337007
21,14400,own,0.0,venture,C,4500,12.98,True,0.34,N,4,9.575052927597383,8.412054873292933
22,210000,mortgage,6.0,venture,B,16000,10.62,False,0.08,N,4,12.25486757159303,9.680406499268875
26,210000,own,10.0,personal,B,22000,11.83,False,0.1,N,4,12.25486757159303,9.99884318585288
26,48000,rent,5.0,venture,E_or_lower,25000,18.43,True,0.5,N,2,10.778977123006351,10.12667110305036
22,54996,rent,6.0,education,B,25000,,True,0.45,N,4,10.915033917272405,10.12667110305036
24,55000,rent,4.0,home-improvement,D,25000,,True,0.45,Y,4,10.915106645867503,10.12667110305036
23,55000,rent,4.0,education,B,25000,11.36,True,0.45,N,3,10.915106645867503,10.12667110305036
23,55000,rent,4.0,education,D,25000,15.65,True,0.45,Y,3,10.915106645867503,10.12667110305036
24,55164,rent,8.0,personal,C,25000,13.22,True,0.45,Y,4,10.918083973194406,10.12667110305036
26,56000,rent,4.0,debt-consolidation,C,25000,12.87,True,0.45,N,2,10.933124826700707,10.12667110305036
24,203500,own,8.0,medical,C,20000,13.04,False,0.1,N,3,12.223426197857627,9.90353755128617
23,190000,mortgage,5.0,education,E_or_lower,22000,17.58,True,0.12,Y,3,12.154784614286667,9.99884318585288
23,14400,own,2.0,personal,E_or_lower,7750,17.04,True,0.5,N,4,9.575052927597383,8.955577146281511
24,60000,rent,0.0,personal,B,25000,10.99,True,0.42,N,3,11.002116507732017,10.12667110305036
24,60000,rent,2.0,personal,B,25000,11.11,True,0.42,N,3,11.002116507732017,10.12667110305036
26,54000,rent,7.0,debt-consolidation,D,25000,14.83,True,0.46,Y,2,10.896757843893464,10.12667110305036
23,14400,own,2.0,debt-consolidation,D,4000,,True,0.29,N,3,9.575052927597383,8.294299608857235
24,200000,rent,8.0,medical,B,12000,12.69,False,0.06,N,2,12.206077645517674,9.392745258631441
24,200000,mortgage,8.0,home-improvement,C,12000,13.49,False,0.06,N,2,12.206077645517674,9.392745258631441
21,200000,mortgage,5.0,education,C,16000,14.65,False,0.08,N,4,12.206077645517674,9.680406499268875
25,54000,rent,3.0,home-improvement,E_or_lower,25000,16.82,True,0.46,N,4,10.896757843893464,10.12667110305036
23,60000,rent,3.0,personal,C,25000,12.73,True,0.42,N,3,11.002116507732017,10.12667110305036
23,60000,rent,7.0,personal,B,25000,10.25,True,0.42,N,4,11.002116507732017,10.12667110305036
21,60000,rent,6.0,education,B,25000,10.99,True,0.42,N,4,11.002116507732017,10.12667110305036
25,61959,rent,9.0,medical,C,25000,12.73,True,0.4,N,2,11.034244294530804,10.12667110305036
22,56400,rent,2.0,home-improvement,D,25000,14.96,True,0.44,Y,3,10.94024216782542,10.12667110305036
23,200000,mortgage,7.0,education,A,28000,,False,0.14,N,2,12.206077645517674,10.239995502805316
21,200000,mortgage,2.0,debt-consolidation,C,25000,13.99,False,0.13,N,2,12.206077645517674,10.12667110305036
24,200000,mortgage,3.0,venture,A,24000,7.49,False,0.12,N,4,12.206077645517674,10.085850775128717
26,200000,mortgage,4.0,education,C,15000,14.79,False,0.07,N,3,12.206077645517674,9.61587214452889
25,200000,mortgage,2.0,debt-consolidation,B,15500,11.99,False,0.08,N,2,12.206077645517674,9.648659816955295
24,200000,rent,8.0,education,A,10000,8.49,False,0.05,N,4,12.206077645517674,9.210440366976517
24,66000,rent,3.0,education,B,25000,9.91,True,0.38,N,2,11.097425172408931,10.12667110305036
22,66000,rent,6.0,education,C,25000,13.06,True,0.38,Y,3,11.097425172408931,10.12667110305036
22,200000,mortgage,6.0,debt-consolidation,A,9000,6.17,False,0.04,N,4,12.206077645517674,9.105090961257085
50,200000,mortgage,4.0,education,B,6000,11.86,False,0.03,N,2,12.206077645517674,8.699681400989514
25,200000,rent,5.0,education,D,18000,16.32,False,0.09,N,3,12.206077645517674,9.798182590890704
25,200000,mortgage,2.0,venture,B,12000,10.38,False,0.06,N,2,12.206077645517674,9.392745258631441
25,200000,mortgage,9.0,personal,C,23050,14.35,False,0.12,N,3,12.206077645517674,10.045464431431677
24,200000,mortgage,8.0,debt-consolidation,B,20000,,False,0.1,N,3,12.206077645517674,9.90353755128617
24,60000,rent,2.0,debt-consolidation,E_or_lower,25000,,True,0.42,Y,2,11.002116507732017,10.12667110305036
21,14400,own,0.0,home-improvement,B,3000,,True,0.21,N,4,9.575052927597383,8.006700845440367
26,66996,rent,10.0,personal,D,25000,15.21,True,0.37,Y,2,11.11240312125122,10.12667110305036
23,67000,rent,3.0,education,A,25000,7.9,True,0.37,N,4,11.112462823634855,10.12667110305036
24,67000,rent,2.0,venture,B,25000,10.99,True,0.37,N,3,11.112462823634855,10.12667110305036
24,68000,rent,5.0,personal,D,25000,14.09,True,0.37,Y,3,11.127277689932466,10.12667110305036
25,69000,rent,9.0,personal,D,25000,17.49,True,0.36,N,2,11.141876276228,10.12667110305036
25,200000,mortgage,0.0,education,B,12000,11.48,False,0.06,N,3,12.206077645517674,9.392745258631441
26,188000,mortgage,10.0,venture,E_or_lower,20000,17.74,True,0.11,N,2,12.144202560946876,9.90353755128617
26,200000,mortgage,4.0,personal,C,3000,13.92,False,0.02,N,3,12.206077645517674,8.006700845440367
25,69996,rent,9.0,education,D,25000,15.21,True,0.36,N,3,11.156207662970246,10.12667110305036
22,14400,own,2.0,medical,B,4000,10.99,True,0.28,N,3,9.575052927597383,8.294299608857235
24,70000,rent,3.0,education,B,25000,11.86,True,0.36,N,4,11.156264806643742,10.12667110305036
24,14400,own,5.0,personal,A,6000,7.49,True,0.42,N,3,9.575052927597383,8.699681400989514
24,56100,rent,7.0,medical,D,25000,16.49,True,0.38,N,4,10.934908916663861,10.12667110305036
25,66000,rent,9.0,venture,D,25000,15.33,True,0.38,Y,2,11.097425172408931,10.12667110305036
26,66000,rent,3.0,home-improvement,B,25000,11.58,True,0.38,N,4,11.097425172408931,10.12667110305036
25,14400,own,7.0,education,A,5375,5.79,True,0.37,N,2,9.575052927597383,8.589699882202986
25,72612,rent,9.0,medical,C,25000,13.11,True,0.34,N,2,11.192899248143839,10.12667110305036
23,74000,rent,3.0,medical,B,25000,10.36,True,0.34,N,3,11.211833885608513,10.12667110305036
25,75000,rent,9.0,debt-consolidation,B,25000,10.36,True,0.33,N,2,11.225256725762893,10.12667110305036
24,192000,rent,0.0,medical,C,22000,,False,0.11,Y,2,12.165255859329688,9.99884318585288
21,192000,mortgage,17.0,venture,A,20000,6.54,False,0.1,N,4,12.165255859329688,9.90353755128617
25,191000,mortgage,1.0,medical,B,10000,12.53,False,0.05,N,4,12.160033942617156,9.210440366976517
26,190300,mortgage,5.0,personal,A,15000,,False,0.08,N,3,12.15636230813118,9.61587214452889
22,190000,mortgage,3.0,venture,C,10000,,False,0.05,N,3,12.154784614286667,9.210440366976517
24,75000,rent,4.0,education,B,25000,10.25,True,0.33,N,4,11.225256725762893,10.12667110305036
22,71000,rent,1.0,education,D,25000,15.95,True,0.35,Y,4,11.170449240431308,10.12667110305036
26,190000,mortgage,3.0,venture,B,20000,12.18,False,0.11,N,4,12.154784614286667,9.90353755128617
23,189996,own,0.0,personal,B,24000,11.83,False,0.13,N,3,12.154763561544284,10.085850775128717
23,78000,rent,7.0,debt-consolidation,C,25000,,True,0.32,Y,2,11.264476926102367,10.12667110305036
23,78000,rent,1.0,venture,B,25000,10.62,True,0.32,N,3,11.264476926102367,10.12667110305036
23,78504,rent,7.0,venture,B,25000,10.74,True,0.32,N,3,11.270917596009623,10.12667110305036
25,186000,own,9.0,venture,B,10000,10.25,False,0.05,N,4,12.133507329024972,9.210440366976517
24,185000,mortgage,4.0,education,B,29800,12.42,False,0.19,N,2,12.128116509451258,10.30229722897745
25,185000,rent,6.0,venture,C,15000,15.27,False,0.08,N,2,12.128116509451258,9.61587214452889
24,62050,rent,8.0,medical,D,25000,15.33,True,0.34,Y,2,11.035711906538346,10.12667110305036
23,79416,rent,7.0,venture,D,25000,15.21,True,0.31,Y,2,11.282467730111303,10.12667110305036
21,14400,own,4.0,venture,C,6250,14.72,True,0.43,N,2,9.575052927597383,8.740496729931813
24,79631,rent,8.0,personal,D,25000,15.7,True,0.31,Y,2,11.285171301098336,10.12667110305036
24,79632,rent,0.0,education,C,25000,13.35,True,0.31,N,4,11.28518385878521,10.12667110305036
21,14400,mortgage,0.0,medical,C,1500,,False,0.1,N,4,9.575052927597383,7.313886831633462
24,80000,rent,6.0,education,A,25000,6.62,True,0.31,N,2,11.289794413577894,10.12667110305036
26,80000,rent,5.0,debt-consolidation,C,25000,13.61,True,0.31,N,4,11.289794413577894,10.12667110305036
22,185000,rent,4.0,medical,B,25000,11.36,False,0.14,N,2,12.128116509451258,10.12667110305036
26,185000,own,10.0,personal,A,5000,7.68,False,0.03,N,2,12.128116509451258,8.517393171418904
24,184992,rent,7.0,home-improvement,D,22000,14.46,False,0.12,Y,4,12.128073265506755,9.99884318585288
23,184000,own,5.0,education,B,2500,11.83,False,0.02,N,2,12.122696471358964,7.824445930877619
24,172000,mortgage,6.0,debt-consolidation,C,20000,13.47,True,0.12,Y,4,12.055255569732177,9.90353755128617
24,183000,mortgage,2.0,medical,B,20000,11.49,False,0.11,N,3,12.117246896289503,9.90353755128617
22,183000,mortgage,3.0,education,A,1000,,False,0.02,N,2,12.117246896289503,6.90875477931522
25,182952,mortgage,9.0,personal,A,15000,6.03,False,0.08,N,3,12.116984568235837,9.61587214452889
23,74004,rent,7.0,debt-consolidation,E_or_lower,25000,16.35,True,0.34,N,4,11.211887937471289,10.12667110305036
26,74004,rent,10.0,debt-consolidation,D,25000,,True,0.34,Y,4,11.211887937471289,10.12667110305036
25,81000,rent,5.0,debt-consolidation,A,25000,7.29,True,0.31,N,3,11.302216779257382,10.12667110305036
23,81600,rent,1.0,medical,B,25000,11.36,True,0.31,N,3,11.309596795779068,10.12667110305036
24,82000,rent,8.0,venture,B,25000,10.25,False,0.3,N,2,11.314486721293981,10.12667110305036
24,83000,rent,5.0,education,B,25000,11.12,False,0.3,N,3,11.326607934898927,10.12667110305036
24,83000,rent,5.0,personal,D,25000,12.92,False,0.3,Y,3,11.326607934898927,10.12667110305036
24,180000,rent,8.0,education,E_or_lower,18000,18.64,False,0.1,Y,4,12.100717685412471,9.798182590890704
23,180000,mortgage,8.0,personal,A,28000,7.51,False,0.16,N,3,12.100717685412471,10.239995502805316
23,14400,own,2.0,home-improvement,E_or_lower,4000,16.7,True,0.28,N,2,9.575052927597383,8.294299608857235
22,14400,own,0.0,personal,B,2100,11.14,False,0.15,N,4,9.575052927597383,7.650168700845001
22,84500,rent,6.0,personal,E_or_lower,25000,18.3,False,0.3,N,4,11.344518647594766,10.12667110305036
24,85000,rent,5.0,medical,B,25000,10.62,False,0.29,N,4,11.350418300109132,10.12667110305036
24,180000,mortgage,7.0,venture,B,14000,11.99,False,0.08,N,2,12.100717685412471,9.546884034617925
26,180000,mortgage,2.0,venture,B,12000,9.63,False,0.07,N,4,12.100717685412471,9.392745258631441
25,142800,mortgage,9.0,medical,E_or_lower,10000,18.25,True,0.06,N,4,11.869207331664223,9.210440366976517
23,14664,mortgage,0.0,debt-consolidation,C,6000,,True,0.41,N,4,9.593218981411551,8.699681400989514
24,87000,rent,8.0,home-improvement,D,25000,14.84,False,0.29,N,3,11.373674891823535,10.12667110305036
24,75000,rent,0.0,venture,E_or_lower,25000,14.7,True,0.33,Y,3,11.225256725762893,10.12667110305036
23,76000,rent,7.0,debt-consolidation,D,25000,16.02,True,0.33,N,4,11.23850177707664,10.12667110305036
23,66215,rent,1.0,medical,D,25000,15.37,True,0.32,Y,2,11.100677404565232,10.12667110305036
25,90000,rent,9.0,medical,B,25000,10.99,False,0.28,N,4,11.407576060361786,10.12667110305036
21,15000,own,0.0,home-improvement,A,6200,7.9,True,0.41,N,2,9.61587214452889,8.732465848349879
26,180000,own,2.0,personal,B,25000,10.99,False,0.14,N,4,12.100717685412471,10.12667110305036
24,180000,own,8.0,education,B,21000,11.48,False,0.12,N,3,12.100717685412471,9.952325334619427
25,180000,own,9.0,medical,C,20000,14.26,False,0.11,Y,4,12.100717685412471,9.90353755128617
26,180000,own,0.0,home-improvement,A,10000,8.0,False,0.06,N,4,12.100717685412471,9.210440366976517
